,links,price,vehicle_model,regdate,mileage,motorpower,valorFipe,pricewrtfipe,error
311,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sucata-mini-cooper-14-15-1-5-turbo-1020105198,35000,MINI COOPER 1.5 TURBO 12V 3P AUT.,2015,60000,1.5,87967,0.39787647640592494,-0.6364267868740402
82,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/tempra-ie-2-0-8v-1020187498,3200,FIAT TEMPRA 2.0 I.E. 8V 2P E 4P,1995,16000,2.0 - 2.9,5668,0.5645730416372619,-0.4230170030581887
565,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/polo-classic-1020006944,4300,VW - VOLKSWAGEN POLO CLASSIC/ SPECIAL 1.8 MI,2000,240000,1.8,10275,0.4184914841849148,-0.41396705356327257
415,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/lexus-ux-250-h-luxury-1017487344,279000,LEXUS UX-250H LUXURY 2.0 16V AUT.(HYBRID),2021,11300,2.0 - 2.9,290985,0.9588123099128821,-0.38927289496223316
572,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-gls-2-8-turbo-diesel-mecanica-998040790,30000,MITSUBISHI PAJERO GLS 2.8 DIESEL TURBO MEC.,2000,300200,2.0 - 2.9,40895,0.7335860129600196,-0.38819871567620967
732,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/linea-essence-manual-impecavel-1019937632,21000,FIAT LINEA ESSEN.SUBLIME 1.8 FLEX 16V 4P,2014,91500,1.8,38932,0.5394020343162437,-0.3814900037676443
692,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/barbada-vendo-kombi-branca-2014-992433380,38500,VW - VOLKSWAGEN KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,2013,63000,1.4,45021,0.8551564825303747,-0.3282707687997265
708,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/monza-95-raridade-1014580649,18600,GM - CHEVROLET MONZA GL 2.0 EFI/SL/L/650/CLUB/BARC.2E4P,1995,76300,2.0 - 2.9,7928,2.346115035317861,-0.31765439451020994
678,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/gol-g4-4-portas-ecomotion-flex-1-0-repasse-14-mil-a-vista-1019955551,14990,VW - VOLKSWAGEN GOL ECOMOTION  1.0 MI TOTAL FLEX 8V 4P,2012,340,1.0,24832,0.6036565721649485,-0.30531371742342606
655,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-meriva-1-8-16v-4p-2004-960863563,12990,GM - CHEVROLET MERIVA 1.8/ CD 1.8 MPFI 16V 122CV 5P,2004,198114,1.8,21548,0.6028401707815111,-0.3034127688284335
781,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiorino-2013-unico-dono-983473686,40000,FIAT FIORINO FURG.1.5/1.3/1.3 FIRE/1.3 F.FLEX,2013,111000,1.3,38558,1.0373982053011048,-0.28435027819729686
319,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vectra-gt-1020104276,26500,GM - CHEVROLET VECTRA GT 2.0 MPFI 8V FLEXPOWER MEC.,2008,0,2.0 - 2.9,30664,0.864205583094182,-0.26144695191590317
576,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/vendo-1020004789,8000,VW - VOLKSWAGEN PARATI CL 1.8 MI 2P E 4P,1998,0,1.8,14437,0.5541317448223315,-0.24190834834194908
